final_feature_index,feature_name,source
598,MORDRED::GATS6se,Mordred
599,MORDRED::GATS7se,Mordred
600,MORDRED::GATS8se,Mordred
601,MORDRED::GATS1pe,Mordred
602,MORDRED::GATS2pe,Mordred
603,MORDRED::GATS3pe,Mordred
604,MORDRED::GATS1p,Mordred
605,MORDRED::GATS2p,Mordred
606,MORDRED::GATS3p,Mordred
607,MORDRED::GATS4p,Mordred
608,MORDRED::GATS5p,Mordred
609,MORDRED::GATS6p,Mordred
610,MORDRED::GATS7p,Mordred
611,MORDRED::GATS8p,Mordred
612,MORDRED::GATS1i,Mordred
613,MORDRED::GATS2i,Mordred
614,MORDRED::GATS3i,Mordred
615,MORDRED::GATS4i,Mordred
616,MORDRED::GATS5i,Mordred
617,MORDRED::GATS6i,Mordred
618,MORDRED::GATS7i,Mordred
619,MORDRED::GATS8i,Mordred
620,MORDRED::BCUTc-1h,Mordred
621,MORDRED::BCUTc-1l,Mordred
622,MORDRED::BCUTdv-1h,Mordred
623,MORDRED::BCUTdv-1l,Mordred
624,MORDRED::BCUTd-1h,Mordred
625,MORDRED::BCUTd-1l,Mordred
626,MORDRED::BCUTs-1h,Mordred
627,MORDRED::BCUTs-1l,Mordred
628,MORDRED::BCUTZ-1l,Mordred
629,MORDRED::BCUTv-1h,Mordred
630,MORDRED::BCUTv-1l,Mordred
631,MORDRED::BCUTi-1l,Mordred
632,MORDRED::BalabanJ,Mordred
633,MORDRED::SpAbs_DzZ,Mordred
634,MORDRED::SpMAD_DzZ,Mordred
635,MORDRED::SM1_DzZ,Mordred
636,MORDRED::VR2_DzZ,Mordred
637,MORDRED::SpAbs_Dzv,Mordred
638,MORDRED::SpMAD_Dzv,Mordred
639,MORDRED::SM1_Dzv,Mordred
640,MORDRED::SpMAD_Dzse,Mordred
641,MORDRED::SM1_Dzse,Mordred
642,MORDRED::SpMAD_Dzp,Mordred
643,MORDRED::SM1_Dzp,Mordred
644,MORDRED::SM1_Dzi,Mordred
645,MORDRED::nBondsS,Mordred
646,MORDRED::nBondsD,Mordred
647,MORDRED::nBondsKD,Mordred
648,MORDRED::RNCG,Mordred
649,MORDRED::RPCG,Mordred
650,MORDRED::C1SP2,Mordred
651,MORDRED::C2SP2,Mordred
652,MORDRED::C3SP2,Mordred
653,MORDRED::C1SP3,Mordred
654,MORDRED::C2SP3,Mordred
655,MORDRED::C3SP3,Mordred
656,MORDRED::C4SP3,Mordred
657,MORDRED::Xch-3d,Mordred
658,MORDRED::Xch-4d,Mordred
